name,matched_on_ot,platform_in_booking_master,url
baylander steel beach,Baylander Steel Beach,resy,https://resy.com/cities/new-york-ny/venues/baylander-steel-beach
bayridge sushi,Bayridge Sushi,website,http://www.bayridgesushibk.com/
bcd tofu house,BCD Tofu House,website,https://www.bcdtofuhouse.com/
bea,BEA,website,http://www.beanyc.com/
beds thai,Beds Thai,website,http://orderbedsthai.com/
beija flor,Beija Flor,website,https://www.beijaflor.nyc/
bell book & candle,Bell Book & Candle,walk_in,
bella luna restaurant,Bella Luna - NYC,resy,https://resy.com/cities/new-york-ny/venues/bella-luna-restaurant
bengal tiger,Bengal Tiger,website,http://www.bengaltigerindianfood.com/
big tiny,Big Tiny,website,http://bigtinybk.com/
bigoi venezia,Bigoi Venezia,website,http://www.bigoivenezia.com/
bin 71,Bin 71,website,https://www.bin71nyc.com/
bison and bourbon,Bison & Bourbon,website,http://www.bisonandbourbon.com/
bistro casa azul,Bistro Casa Azul,website,https://bistrocasaazul.com/?utm_source=google
bk9,BK9,website,https://bk9menu.com/
black flamingo,Black Flamingo,website,http://www.blackflamingonyc.com/
blacksea fish & grill,Blacksea Fish & Grill,walk_in,
blank slate,Blank Slate,website,http://www.slatecafe.com/
bless bar & kitchen,Bless Bar & Kitchen,website,https://blessbarkitchennyc.com/?utm_source=google
blt steak,Blt Steak,website,https://www.bltrestaurants.com/location/blt-prime-new-york/
blue door souvlakia,Blue Door Souvlakia,walk_in,
blue hill at stone barns,Blue Hill at Stone Barns,website,https://www.bluehillfarm.com/
blue spoon,Blue Spoon,website,http://bluespooncoffee.com/
blujeen,Blujeen,website,http://www.bluedognyc.com/
bob's steak and chop house,Bob's Steak & Chop House - New York,unknown,
bocca cucina and bar,Bocca Cucina & Bar,website,http://boccanyc.com/
bogart house,Bogart House,website,http://www.bogarthouse.com/
bohemian hall & beer garden,Bohemian Hall & Beer Garden,website,https://bohemianhall.com/
bohemian spirit restaurant,Bohemian Spirit,website,http://www.bohemianspiritrestaurant.com/
bombay chowk,Bombay Chowk,website,https://www.bombaychowk.com/
bombay heights,Bombay Heights,website,https://www.beyondmenu.com/40916/brooklyn/bombay-heights-brooklyn-11216.aspx
bombay kabab,Bombay Kabab,website,https://bombaykabab.site/
bondi sushi,Bondi Sushi,website,https://www.bondisushi.com/
bonnie's grill,Bonnie's Grill,resy,https://resy.com/cities/new-york-ny/venues/bonnies
bono trattoria,Bono Trattoria,website,http://www.bononyc.com/
born thai,Born Thai,website,https://www.bornbklyn.com/
bourbon and branch,Bourbon And Branch,resy,https://resy.com/cities/new-york-ny/venues/bourbon-and-branch
bowery road,Bowery Road,website,https://www.boweryroad.com/
branch,Branch,website,https://branchnewyork.com/#opening
bravest,Bravest,website,http://thebravestnyc.com/
brazilian spices restaurant & steakhouse,Brazilian Spices Steakhouse - Bar - Pizzeria,website,http://emporiumbrasil.com/
broadway comedy club,Broadway Comedy Club,website,http://www.broadwaycomedyclub.com/
brooklyn kura,Kura,website,http://www.brooklynkura.com/
buddy's,Buddys,website,https://www.bubbys.com/
buttermilk channel,Buttermilk Channel,unknown,
bz grill,BZ grill - Brooklyn,website,http://www.bzgrillnyc.com/
cactus shop,The Cactus Shop,website,http://thecactusshopnyc.com/
cactus wren,Cactus Wren,unknown,
