name,matched_on_ot,platform_in_booking_master,url
hub thai,Hub Thai,website,https://hubthai.nyc/
huertas,Huertas,website,http://huertasnyc.com/
hummus kitchen,Hummus Kitchen,website,http://www.hummuskitchen.com/
hummus place,Hummus Place,website,http://www.hummusplace.com/
hyatt herald square,The Rooftop - Hyatt Herald Square,website,https://www.hyatt.com/en-US/hotel/new-york/hyatt-herald-square-new-york/nychh/dining
i sodi,I Sodi,resy,https://resy.com/cities/new-york-ny/venues/i-sodi
i trulli,I Trulli,walk_in,
idashi omakase,idashi Omakase,resy,https://resy.com/cities/new-york-ny/venues/idashi-omakase
ikigai,Ikigai,resy,https://resy.com/cities/new-york-ny/venues/ikigai
ikko hibachi sushi asian bistro,IKKO Hibachi Sushi Asian Bistro,website,http://www.ikkonyc.com/
il bambino,Il Bambino,website,http://www.ilbambinonyc.com
il corallo trattoria,Il Corallo Trattoria,resy,https://resy.com/cities/new-york-ny/venues/il-corallo-trattoria
il posto accanto,Il Posto Accanto,website,http://ilpostoaccantonyc.com/
inca paisa restaurant astoria,Inca Paisa - Astoria,website,https://incapaisa.com/
india passage,India Passage,website,https://indiapassageny.com/
indian tanpura,Indian Tanpura,website,https://www.indiantanpura.com/
ippudo dumbo,Ippudo,website,https://www.ippudous.com/ippudov-db
ippudo ny,Ippudo,website,https://www.ippudous.com/east-village
iron sushi,Iron Sushi,walk_in,
isla & co,Isla & Co. - Midtown,unknown,
island shack,Island Shack,website,http://www.islandshackkitchen.com/
isle of capri,Isle of Capri,website,http://www.isleofcapriny.com/
istanbul kebab house,Istanbul Kebab House,website,http://www.istanbulkebabny.com/
itaewon pocha,Itaewon Pocha - New York,website,https://itaewonnyc.com/
ital kitchen,Ital Kitchen,website,https://www.italkitchenbk.com/
iv purpose,IV Purpose,website,https://ivpurposebk.com/
izakaya fuku,Izakaya Fuku,website,http://www.orderfukunyc.com/
izakaya mew,Izakaya Mew,resy,https://resy.com/cities/new-york-ny/venues/izakaya-mew
izakaya sushi & lounge,Izakaya Sushi & Lounge,unknown,
izakaya tenzo,Izakaya Tenzo,resy,https://resy.com/cities/new-york-ny/venues/izakaya-tenzo
j's on the bay,J's On The Bay,website,https://jsonthebaysiny.com/
jack demsey's,Jack Demsey's,website,http://www.jackdemseys.com/
jack doyle's,Jack Doyle's,website,http://www.jackdoylesnyc.com/
jack jones gastropub,Jack Jones Gastropub,website,http://www.jackjonesbar.com/
jade garden,Jade Garden,walk_in,
jaew hon,Jaew Hon,website,https://www.facebook.com/JaewhonNewYork/
jam'it bistro,Jam'It Bistro,website,https://www.jamitbistro.com/
jamrock jerk,JAMROCK JERK,website,http://www.jamrockjerkny.com/
jang dok dae,Jang Dok Dae - Flushing,website,https://www.jangdokdae.org/
jean's,Jean's,resy,https://resy.com/cities/new-york-ny/venues/jeans
jerusalem falafel house,Falafel House,walk_in,
jg melon,J.G. Melon,website,http://jgmelon-nyc.com/
jin ramen - hamilton heights,Jin Ramen Hamilton Heights,website,https://www.jinramen.com/
jing fong restaurant,Jing Fong,website,http://jingfongny.com/
jintana thai farmhouse,Jintana Thai Farmhouse,website,https://www.jintanathai.com/
jj's asian fusion,JJ's Asian Fusion,website,https://www.jjfusionastoria.com/
joe's lobster house,Joe's Lobster House,website,http://www.lobsterhousesi.com/
joey roses,Joey Roses,website,http://www.joeyroses.com/
john jay dining hall,John Jay Dining Hall,website,http://dining.columbia.edu/
john's of 12th street,John's of 12th Street,website,http://johnsof12thstreet.com/
jongro bbq,Jongro Bbq,resy,https://resy.com/cities/new-york-ny/venues/jongro-bbq
jose luis mediterranean cuisine,Jose Luis Mediterranean Cuisine,website,http://joseluisnewyork.com/
jumieka grand,Jumieka Grand,website,https://jumiekagrand.com/
jumpin' jacks,Jumpin Jacks,website,http://www.modernhaushotel.com/dine-drink/jumpin-jacks/
kabob shack,Kabob Shack,website,https://www.kabobshackbrooklyn.com/
kafana,Kafana,website,http://www.kafananyc.com/
kailash parbat,Kailash Parbat,website,https://kailashparbatnyc.com/
kaiten zushi nomad,Kaiten Zushi,resy,https://resy.com/cities/new-york-ny/venues/kaiten-zushi-nomad
kam rai thai,Kam Rai Thai,website,http://kamraithai.net/
kam's kitchen,Kam’s Kitchen,walk_in,
kame,Kame,resy,https://resy.com/cities/new-york-ny/venues/kame
kappo sono,Kappo Sono,resy,https://resy.com/cities/new-york-ny/venues/kappo-sono
kati thai cuisine,Kati Thai Cuisine,website,http://katithai.com/
kawa omakase,Kawa Omakase,resy,https://resy.com/cities/new-york-ny/venues/kawa-omakase
kazumi omakase,Kazumi Omakase,resy,https://resy.com/cities/new-york-ny/venues/kazumi-omakase
kebab aur sharab,Kebab aur Sharab,resy,https://resy.com/cities/new-york-ny/venues/kebab-aur-sharab
keens steakhouse,Keen's Steakhouse,resy,https://resy.com/cities/new-york-ny/venues/keens-steakhouse
kefi,Kefi,unknown,
kesari indian cuisine,Kesari Indian Cuisine,website,https://kesarinyc.com/
ki sushi,Ki Sushi,website,http://www.kisushigroup.com/
kick axe throwing brooklyn,Kick Axe Throwing BROOKLYN,website,https://www.kickaxe.com/brooklyn
kikoo sushi,Kikoo Sushi,website,http://kikoosushi.com/
kimchi grill,Kimchi Grill - Brooklyn,website,http://www.kimchigrill.com/
king crab house,King Crab House,resy,https://resy.com/cities/new-york-ny/venues/king
kinjo,Kinjo,website,http://www.kinjodumbo.com
kinzan omakase,Kinzan Omakase,resy,https://resy.com/cities/new-york-ny/venues/kinzan-omakase
kith treats,Kith Treats,website,https://kith.com/pages/shop-treats?utm_campaign=Kithtreats&utm_medium=kithtreats.com&utm_source=redirects
kiwami,Kiwami,resy,https://resy.com/cities/new-york-ny/venues/kiwami
ko sushi,Ko Sushi,website,http://www.newkosushi.com/
kol noodle,KOL Noodle,unknown,
kono,Kono,resy,https://resy.com/cities/new-york-ny/venues/kono
koon taste of siam,Koon Taste of Siam,resy,https://resy.com/cities/new-york-ny/venues/koon-taste-of-siam
kpot korean bbq & hot pot,KPOT Korean BBQ & Hot Pot,website,https://thekpot.com/location/midtown-w-38th-st/
krob kreung krob ros,Krob Kreung Krob Ros,website,https://www.krobkreungkrobros.com/
kuku korean cuisine forest hills,Kuku Korean Cuisine Forest Hills,website,https://eatkuku.com/
kuku korean cuisine lic,Kuku Korean Cuisine LIC,website,https://eatkuku.com/
kuma inn,Kuma Inn,walk_in,
kungfu hot pot,Kungfu Hot Pot,walk_in,
kuruma zushi,Kuruma Zushi,website,http://www.kurumazushi.com/
l'angolo della villetta,L’Angolo Della Villetta,unknown,
l'artusi,L'Artusi,resy,https://resy.com/cities/new-york-ny/venues/lartusi-ny
l'avenue at saks,L’Avenue at Saks,resy,https://resy.com/cities/new-york-ny/venues/lavenue
la cabana salvadorena,La Cabana Salvadorena,website,https://order.online/business/la-cabana-salvadorena-75938
la caridad 72,La Caridad 72,website,http://www.lacaridad72uws.com/
la casa del mofongo,La Casa Del Mofongo,website,https://www.instagram.com/lacasadelmofongo182st
la chacra,La Chacra,website,https://lachacrarestobarperuviankitchenny.com/
la devozione,La Devozione,resy,https://resy.com/cities/new-york-ny/venues/la-devozione
la diagonal,La Diagonal,walk_in,
la flaca,La Flaca,website,http://laflacanyc.com/
la gioconda,La Gioconda,website,https://www.lagiocondanyc.com/
la lanterna di vittorio,La Lanterna di Vittorio,resy,https://resy.com/cities/new-york-ny/venues/la-lanterna-di-vittorio
la morada restaurant,La Morada,website,http://lamoradanyc.com
la morra fonda rest. & bar,La Morra Fonda Rest. & Bar,website,https://lamorrafondarestbar.shop/
la petite joie,La Petite Joie,resy,https://resy.com/cities/new-york-ny/venues/la-petite-joie
la rubia restaurant,La Rubia,website,https://larubiabarandgrillrestaurantny.com/
la villa restaurant,La Villa - Park Slope,website,http://www.lavillamx.com/
ladybird,LadyBird,resy,https://resy.com/cities/new-york-ny/venues/ladybird
lamonte,Lamonte,resy,https://resy.com/cities/new-york-ny/venues/lamonte
las margaritas,Las Margaritas,website,https://lasmargaritas3801.com/
las ramblas,Las Ramblas,website,http://www.lasramblas.nyc/
le basque,Le Basque,resy,https://resy.com/cities/new-york-ny/venues/le-basque
le chene,Le Chene,resy,https://resy.com/cities/new-york-ny/venues/le-chene
le gratin,Le Gratin,resy,https://resy.com/cities/new-york-ny/venues/le-gratin
le pain quotidien,Le Pain Quotidien - Tribeca,website,https://lepainquotidien.com/us/stores/118:%2068th%20&%20first%20avenue?utm_source=gmb&utm_medium=business-listing
le petit pecheur,Le Petit Pêcheur,website,http://lepetitpecheurnyc.com/
le petit village,Le Petit Village,resy,https://resy.com/cities/new-york-ny/venues/le-petit-village
le relais de venise l'entrecote midtown east,Le Relais de Venise l'Entrecote,website,http://www.relaisdevenise.com/
legacy records,Legacy Records,resy,https://resy.com/cities/ny/legacy-records-new-york
lemongrass grill,Lemongrass Grill,website,http://lemongrassbrooklyn.com/
leo's grandevous,Leo's Grandevous,website,http://www.leosgrandevous.com/
les enfants de boheme,Les Enfants de Boheme,resy,https://resy.com/cities/new-york-ny/venues/les-enfants-de-boheme
levante,Levante,website,http://levantelic.com/
libertine,Libertine,resy,https://resy.com/cities/new-york-ny/venues/libertine
lilli and loo,Lilli and Loo,website,http://lexington.lilliandloonyc.com/
lilly's craft and kitchen,Lilly's Craft and Kitchen,website,https://lillyscraftandkitchennyc.com/
lily pond,Lily Pond,resy,https://resy.com/cities/new-york-ny/venues/lily-pond
lily thai,Lily Thai,website,http://www.lilythainyc.com/
lin & daughters,Lin & Daughters,website,https://www.linanddaughters.com/
lin's garden,Lin's Garden,website,https://menupages.com/lins-gourmet-chinese-cuisine/1097-2nd-ave-new-york
lincoln station,Lincoln Station,website,http://www.stationfoods.com/
little egg,Little Egg,resy,https://resy.com/cities/new-york-ny/venues/little-egg
little poland restaurant,Little Poland,website,https://thelittlepoland.com/
little sister,Little Sister - Moxy NYC East Village,unknown,
little thai kitchen,Little Thai Kitchen,resy,https://resy.com/cities/new-york-ny/venues/little-thai-kitchen
little tiffin,Little Tiffin,website,https://littletiffinbrooklyn.com/
llama inn,Llama Inn,resy,https://resy.com/cities/ny/llama-inn
llewellyn parq bar and grill,Llewellyn Parq Bar and Grill,website,http://llewellynparq.com/
lobster house joe's,Lobster House Joe’s,website,http://www.lobsterhousesi.com/
lola taverna,Lola Taverna,unknown,
london tandoori,London Tandoori,website,https://www.londontandooribrooklynny.com/
longhorn steakhouse,Longhorn Steakhouse - Brooklyn,website,https://www.longhornsteakhouse.com/locations/ny/elmhurst/elmhurst/5453?cmpid=br:lh_ag:ie_ch:loc_ca:LHGMB_sn:gmb_gt:elmhurst-ny-5453_pl:locurl_rd:1392
los burritos juarez,Los Burritos,website,https://www.losburritosjuarez.com/
los cuernos,Los Cuernos,website,https://cuernony.com
lucky cat,Lucky Cat,website,http://www.izakayaluckycat.com
ludlow house,Ludlow House - Ducked Up Restaurant,website,https://www.sohohouse.com/houses/ludlow-house?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness
luke's bar and grill,Luke's Bar & Grill,website,http://www.lukesbarandgrill.com/
lupe's east la kitchen,Lupe's East LA Kitchen,website,https://www.lupeskitchen.com/
lydia's,Lydia's,website,http://www.becco-nyc.com/
mad dog & beans mexican cantina,Mad Dog & Beans Mexican Cantina,website,http://www.maddogandbeans.com/
made in mexico,Made in Mexico,website,https://madeinmexico.nyc/
maison may,Maison May,website,http://maison-may.com/
maison provence,Maison Provence,resy,https://resy.com/cities/new-york-ny/venues/maison-provence
maison sun,Maison Sun,resy,https://resy.com/cities/new-york-ny/venues/maison-sun
maizal restaurant,Maizal - Staten Island,website,http://www.maizalrestaurant.com/
makimaki sushi,MakiMaki Sushi,website,http://makimaki.nyc/
malatesta trattoria,Malatesta Trattoria,website,http://malatestanyc.com/
mam,Mam,resy,https://resy.com/cities/new-york-ny/venues/mam
mama taco,Mama Taco,walk_in,
maman,Maman,website,https://mamannyc.com/locations/soho
mamoun's falafel,Mamoun's Falafel,walk_in,
mandarin house,Mandarin House,website,http://www.mandarinhouse.com/
manducatis rustica,Manducatis Rustica,website,http://www.manducatisrustica.com/
manetta's ristorante,Manetta's Ristorante,website,http://www.manettaslic.com/
mango tree thai bistro,Mango Tree Thai Bistro,walk_in,
manny's bistro,Manny's Bistro,resy,https://resy.com/cities/new-york-ny/venues/mannys-bistro
manolo tapas restaurant,Manolo Tapas,website,http://www.manolotapas.net/
manor oktoberfest forest hills,Manor Oktoberfest of Forest Hills,website,https://www.manoroktoberfest.com/
mapo b.b.q,Mapo BBQ,website,https://mapokoreanbbqny.com/
margez grill house,Margez Grill House,walk_in,
mark's off madison,Mark's Off Madison,resy,https://resy.com/cities/new-york-ny/venues/marks-off-madison
martha's cocina mexicana,Marthas Cocina Mexicana,unknown,
masala grill,Masala Grill,website,http://www.masalagrillbrooklyn.com/?utm_source=gmb&utm_medium=website
masquerade,Masquerade,resy,https://resy.com/cities/new-york-ny/venues/masquerade
matiz latin cuisine,Matiz Latin Cuisine,website,http://matizlatincuisineny.com/
matsu sushi,Matsu Sushi,website,http://matsusushiny.com/
matsunori handroll bar,Matsunori Handroll Bar - LIC,website,http://matsunori.com/
maurizio's on the water,Maurizio's on the Water,website,https://www.mauriziosonthewater.com/
max soha,Max SoHa,website,http://www.maxsoha.com/
mello bistro,Mello Bistro,website,https://mellobistro.com/
meme,Meme Mediterranean on 10th,website,http://www.mememediterranean.com/
mesa azteca,Mesa Azteca,website,https://mesaaztecanyc.com/
mexico 2000,Mexico 2000,website,https://mexico2000.getsauce.com/
mi cielito colombiano,Mi Cielito Colombiano,website,https://micielitocolombiano.getsauce.com/
mictlan mexico,Mictlan México,website,http://mictlanny.com/
mido omakase room,Mido - Omakase Room,resy,https://resy.com/cities/new-york-ny/venues/mido-omakase-room
mido omakase west village,Mido Omakase - West Village,resy,https://resy.com/cities/new-york-ny/venues/mido-omakase-west-village
mighty quinn's barbeque,Mighty Quinn's Barbeque,website,http://mightyquinnsbbq.com/
mikiya wagyu shabu house,Mikiya Wagyu Shabu House - Flushing,website,https://mikiyashabu.com/project/new-york-manhattan/
milk n' honey,Milk N Honey,website,http://www.milknhoneykosher.com/
miller's ale house,Miller's Ale House,website,https://millersalehouse.com/locations/staten-island/?utm_source=gmb&utm_medium=organic
mimi,MIMI,website,https://www.mimisnyc.com/
minetta tavern,Minetta Tavern,resy,https://resy.com/cities/new-york-ny/venues/minetta-tavern
mint heights,Mint Heights,website,https://www.ordermintheights.com/
mint masala,Mint Masala,website,https://mintmasalanyc.com/?utm_source=google
miraj healthy grill,Miraj Healthy Grill - Manhattan,website,https://www.mirajhealthygrill.com/
mito asian fusion,Mito Asian Fusion,website,http://themito.com/
mockingbird,Mockingbird,website,https://mockingbird.nyc/
mojo east,Mojo East,resy,https://resy.com/cities/new-york-ny/venues/mojo-east
mom's kitchen & bar,Mom's Kitchen and Bar - Midtown,website,https://www.eatatmomsnyc.com/
momo sushi,MoMo Sushi,website,http://www.momonyc.com/
momosan ramen and sake,Momosan Ramen & Sake,website,http://momosanramen.com/
monkey thief,Monkey Thief,website,https://www.monkeythiefbar.com
moonlight,Moonlight,unknown,
morgan steakhouse & sushi bar,Morgan Steakhouse & Sushi Bar,website,http://www.morgansteakhouse.com/
morgan's brooklyn barbecue,Morgan's Brooklyn Barbecue,resy,https://resy.com/cities/new-york-ny/venues/morgans-brooklyn-barbecue
moustache pitza,Moustache Pitza,website,https://moustachepitza.com/?utm_source=google
mr. capri,Mr. Capri,website,http://mrcapri.com/
mr. taka ramen,Mr. Taka Ramen,website,https://www.instagram.com/mrtakaramen
ms. kim's,Ms. Kim's,unknown,
mughlai grill,Mughlai Grill,website,https://www.mughlaigrillny.com/
mya's bar & kitchen,Mya's Bar & Kitchen,website,https://myaskitchen.com/
myrtle thai restaurant,Myrtle Thai,website,https://www.myrtlethaibk.com/
nakamura,Nakamura,website,http://www.nakamuranyc.com/
naked dog,Naked Dog,website,http://www.nakeddogbrooklyn.com/
nama,Nama - Aman New York,website,https://www.aman.com/hotels/aman-new-york/dining/nama?utm_source=google&utm_medium=website&utm_campaign=nama_at_aman+new+york&utm_id=nama
namaste,Namaste,website,http://www.namastebk.com/
nan hotpot,Nan Hotpot,walk_in,
nan xiang xiao long bao,Nan Xiang Xiao Long Bao - Parent,website,https://nanxiangxiaolongbao.com/?utm_source=gbp&utm_medium=organic&utm_campaign=ktown
nana thai street,Nana Thai,website,http://www.nanathaistreetnyc.com/
nana's,Nana’s,website,http://nanaskitchennewyorkcity.com/
nanking,Nanking - Manhattan,website,http://thenankingrockaway.com/
nemesis,Nemesis,unknown,
nerai,NERAI,website,http://nerainyc.com
new dragon,New Dragon,walk_in,
new dynasty chinese restaurant,New Dynasty Chinese,website,http://www.newdynastyny.com/?utm_source=gmb&utm_medium=website
noches de colombia,Noches de Colombia - Bronx,website,http://nochesrestaurantes.com/nochesdela57
noches mexicanas,Noches Mexicanas,website,https://noche-mexicana.com/?utm_source=google
noi due carne,Noi Due Carne,resy,https://resy.com/cities/new-york-ny/venues/noi-due-carne
nomad tea parlour,Nomad Tea Parlour,resy,https://resy.com/cities/new-york-ny/venues/nomad-tea-parlour
nonna beppa,Nonna Beppa,website,https://www.nonnabeppa.com/
nonna doras,Nonna Dora's,resy,https://resy.com/cities/new-york-ny/venues/nonna-doras
noodle craft,Noodle Craft,website,https://www.noodlecraftqueens.com/
norma,Norma,website,http://www.normarestaurant.com/
northern bell,Northern Bell,website,http://www.northernbellny.com/
nota bene,Nota Bene,website,http://notabenebrooklyn.com/
nur thai,Nur Thai,website,https://nurthai.com/
nyonya,Nyonya - permanently closed,website,https://nyonya.store/
oba grill,OBA Grill,website,http://obagrill.com/
oki poke & ramen,Oki Poke Ramen,website,http://www.okipokeramen.com/
okiboru house of udon,Okiboru House of Udon,website,https://okiboru.com/new-york
okonomi / yuji ramen manhattan,OKONOMI / YUJI Ramen Manhattan,resy,https://resy.com/cities/new-york-ny/venues/okonomi-yuji-manhattan
old bukhara,OLD BUKHARA,website,http://www.bukharagrillnyc.com/
oligarch,The Oligarch,website,https://oligarchevents.com/
omakase 33,Omakase 33,resy,https://resy.com/cities/new-york-ny/venues/omakase-33
omakase ichi,Omakase Ichi,unknown,
omakase sushi by hiro,Omakase sushi by hiro,resy,https://resy.com/cities/new-york-ny/venues/omakase-sushi-by-hiro
one bite omakase,One Bite Omakase,resy,https://resy.com/cities/new-york-ny/venues/one-bite-omakase
one fifth,One Fifth,website,https://www.onefifthnyc.com/
one more charm,One More Charm,website,http://www.onemorecharm.com/
one star,ONE STAR,website,http://www.bom-nyc.com/
ooki sushi,Ooki Sushi,website,https://www.ookisushi.us/home
ootoya - times square,Ootoya - Times Square,resy,https://resy.com/cities/new-york-ny/venues/ootoya-times-square
orale tacos,Orale Tacos - West Haven,website,https://oraletacosmenu.com/
original pancake house,Original Pancake House- Woodmere,website,http://www.ophedgewater.com/
oscar's place,Oscar's Place,website,https://www.oscarsplacenewyork.com/
osteria carlina tribeca,Osteria Carlina Tribeca,resy,https://resy.com/cities/new-york-ny/venues/osteria-carlina-tribeca
osteria carlina west village,Osteria Carlina,resy,https://resy.com/cities/new-york-ny/venues/osteria-carlina-west-village
osteria del porto,Osteria del Porto,resy,https://resy.com/cities/new-york-ny/venues/osteria-del-porto
otani,Otani - New York,website,http://otaniatnassau.com/
our new place,Our New Place,website,http://www.ournewplacenyc.com/
p.j. clarke's on the hudson,PJ Clarkes on the Hudson,website,http://pjclarkes.com/location/on-the-hudson/
p.j. clarke's third avenue,P.J. Clarke's - Third Avenue,website,https://pjclarkes.com/location/third-avenue/
palo santo,Palo Santo,website,http://www.palosantorestaurant.com/
panda garden restaurant,Panda Garden- Wellington,walk_in,
panda house,Panda House,walk_in,
papatzul,Papatzul,website,http://papatzul.com/
paraiso colombiano,Paraiso Colombiano,website,https://paraisocolombianony.com/
parc oasis,Parc Oasis,website,http://parcoasisoysterbar.com/
park slope ale house,Park Slope Ale House,website,http://parkslopealehouse.com/
pascalou,Pascalou,website,http://www.pascalou.info/
pastai,Pastai,resy,https://resy.com/cities/new-york-ny/venues/pastai
patacon pisao,Patacon Pisa'o,website,http://pataconpisaonyc.com/
patiala indian grill,Patiala Indian Grill,website,http://34.patialany.com/
patrick steakhouse,Patrick Steakhouse,resy,https://resy.com/cities/new-york-ny/venues/patrick-steakhouse
patrizia's of williamsburg,Patrizia's of Williamsburg,website,http://www.patrizias.com/location/brooklyn/
pazza notte,Pazza Notte,website,http://www.pazzanotte.com/
peacock alley,Peacock Alley - Waldorf Astoria New York,website,https://www.waldorfastorianewyork.com/dining/?y_source=1_MjAyNTkyMDMxMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
pegasus brooklyn,Pegasus,website,http://pegasusbrooklyn.com/
peking chinese restaurant,Peking Chinese,website,http://www.pekingduckhousenyc.com/
pepe rosso to go,Pepe Rosso To Go,website,http://www.peperossotogo.com/
pep’s on grand,Pep's on Grand,unknown,
perrine,Perrine,resy,https://resy.com/cities/new-york-ny/venues/perrine
peter luger steak house,Peter Luger Steak House,resy,https://resy.com/cities/new-york-ny/venues/peter-luger-steak-house
pho grand bayside,Pho Grand,website,http://www.phograndbayside.com/
pho hoai restaurant,Pho Hoai,website,https://grubhub.com/restaurant/pho-hoai-1906-avenue-u-brooklyn/2201576?classicAffiliateId=/r/w/2201576/&utm_source=restaurant.grubhub.com&utm_medium=OOL&utm_campaign=order%20online&utm_content=2201576
piacere,Piacere,resy,https://resy.com/cities/new-york-ny/venues/piacere
pier 23,Pier 23,website,https://www.pier23nha.com/
pietro nolita,Pietro NoLita,resy,https://resy.com/cities/new-york-ny/venues/pietro-nolita
pig heaven,Pig Heaven,resy,https://resy.com/cities/new-york-ny/venues/pig-heaven
pink nori,Pink Nori,website,https://pinknorinyc.com/
pinky swear,Pinky Swear,resy,https://resy.com/cities/new-york-ny/venues/pinky-swear
pinocchio ristorante,Pinocchio Ristorante,website,http://www.pinocchiorestaurantnyc.com/
pips,PIPS,unknown,
pita grill,Pita Grill,website,https://www.pitagrill.com/
pita pi,Pita pi,website,http://pitapinyc.com/
pitt's,Pitt's,resy,https://resy.com/cities/new-york-ny/venues/pitts
playroom nyc,Playroom,unknown,
plus de vin,Plus de Vin,website,https://vsvwinebars.com/location-51st
pocha 32,Pocha 32,resy,https://resy.com/cities/new-york-ny/venues/pocha-32
poco - nyc,Poco,website,http://www.poconyc.com/
ponche taqueria,Ponche Taqueria,website,https://www.ponchetaquerianyc.com/
popina,Popina,website,http://popinanyc.com/
porto bello,Porto Bello,website,https://iltinellony.com/
praga tapas bar,Praga Tapas Bar,website,http://instagram.com/pragatapasny
prem thai,Prem Thai,website,http://premthainyc.com/
press room,The Press Room,website,https://www.thepressroom.bar
prime 623,Prime 623,website,https://prime623.squarespace.com/
proper west,Proper West,website,https://properfood.com/
puerta del alma,Puerta Del Alma,website,http://www.puertadelalma.com/
purple waves,Purple Waves,website,http://www.purplewaves.nyc/
radici,Radici,website,https://origininyc.com/
radio kwara,Radio Kwara,resy,https://resy.com/cities/new-york-ny/venues/radio-kwara
rafaelis palace,Rafaelis Palace,website,http://www.chefrafaeli.com/
raizes churrascaria,Raizes Churrascaria,website,http://raizesgreenpoint.com/
ramen ishida,Ramen Ishida,website,https://www.ramenishida.com/
ramen ishida chelsea,Ramen Ishida,resy,https://resy.com/cities/new-york-ny/venues/ramen-ishida-chelsea
rana fifteen,Rana Fifteen,resy,https://resy.com/cities/new-york-ny/venues/rana-fifteen
ranch caribbean vybez restaurant,Ranch Caribbean Vybez,walk_in,
rancho tequileria,Rancho Tequileria - Hell's Kitchen,website,https://ranchotequileria.com/
rao's,Rao's,website,http://raossince1896.com/
rasa,Rasa,website,https://www.rasanyc.com/
red cat,Red Cat,website,http://leblancsautoct.com/
redfarm,RedFarm,website,http://www.redfarmnyc.com/
redwood pleasure club,Pleasure Club,website,https://taogroup.com/venues/crane-club-restaurant-new-york/
refried beans,Refried Beans,website,https://refriedbeansnyc.com/?utm_source=google
ren restaurant,Ren,resy,https://resy.com/cities/new-york-ny/venues/ren
republic latin fusion,Republic Latin Fusion,resy,https://resy.com/cities/new-york-ny/venues/republic-latin-fusion
restaurant daniel,Daniel,resy,https://resy.com/cities/new-york-ny/venues/daniel
revelie luncheonette,Revelie Luncheonette,website,http://www.revelie.com/
rice k,Rice K,website,http://www.ricekny.com/
rincon melania,Rincon Melania,website,https://www.rinconmelanianyc.com/
rincon melania long island city,Rincon Melania,website,https://www.rinconmelanianyc.com/
rita cantina,Rita Cantina,website,https://www.ritashk.com/
river japanese cuisine,River Japanese Cuisine,website,https://www.riversushiny.com/
riviera ristorante,Riviera Ristorante,website,http://www.rivieraristorante.com/
roebling sporting club,Roebling Sporting Club,website,https://www.roeblingsportingclub.com/about
romanian garden,Romanian Garden,website,https://www.romaniangarden.nyc/
romeo's,Romeos,website,http://www.romeositalianrestaurant.com/
rose marie,Rose Marie,resy,https://resy.com/cities/new-york-ny/venues/rose-marie
rosella,Rosella,resy,https://resy.com/cities/new-york-ny/venues/rosella
rothschild tlv,Rothschild Tlv,resy,https://resy.com/cities/new-york-ny/venues/rothschild-tlv
rowland's bar and grill,Rowland's Bar & Grill,website,https://www.rowlandsnyc.com/
ruddy and dean,Ruddy and Dean,website,http://www.ruddyanddean.com/
rudraks fine indian cuisine,Rudraks Fine Indian Cuisine,website,http://www.aroqanyc.com/
runner & stone,Runner & Stone,website,http://www.runnerandstone.com/
runner up,Runner Up,resy,https://resy.com/cities/new-york-ny/venues/runner-up
sabor peruano,Sabor Peruano,website,http://sabor-peruano-3.com/
sabor tropical,Sabor tropical,walk_in,
sabry's seafood,Sabry's Seafood,website,https://sabrys-seafood.com/
sac's place,Sac's Place,resy,https://resy.com/cities/new-york-ny/venues/sacs-place
sadelles,Sadelle’s,resy,https://resy.com/cities/new-york-ny/venues/sadelles
sae ron,SAE RON,unknown,
saffron indian cuisine,Saffron Indian Cuisine,website,http://www.saffronindiancuisineny.com/?utm_source=gmb&utm_medium=website
safir mediterranean,Safir Mediterranean,website,https://safir-mediterranean.com/
saggio restaurant,Saggio,resy,https://resy.com/cities/new-york-ny/venues/saggio
sahara mediterranean grill,Sahara Mediterranean Grill,website,https://grandsaharagrill.com/?utm_source=google
sahara turkish grill,Sahara Turkish Grill,website,http://saharasturkishcuisine.com/
sahib,Sahib,website,https://www.sahib-nyc.com/
saint urban,Saint Urban,resy,https://resy.com/cities/new-york-ny/venues/saint
sakana sushi & hibachi steakhouse,Sakana Sushi & Hibachi Steakhouse,resy,https://resy.com/cities/new-york-ny/venues/sakana-sushi-and-hibachi-steakhouse
sake kawa,Sake Kawa,unknown,
sakura 6,Sakura 6,website,https://order.toasttab.com/online/sakura-6-837-manhattan-ave
sal tang's,Sal Tang's,resy,https://resy.com/cities/new-york-ny/venues/sal-tangs
salt lime and tequila,Salt Lime and Tequila,website,http://saltlimetequila.com/
salud bar & grill,Salud Bar & Grill,website,http://www.saludbargrill.com/
salud restaurant,Salud,website,http://www.saludbargrill.com/
sama street,Sama Street,unknown,
samarkand nights,Samarkand Nights,website,https://samarkandnights.com/
sami and susu,Sami & Susu,resy,https://resy.com/cities/new-york-ny/venues/sami-and-susu
samsaen thai,Samsaen Thai,resy,https://resy.com/cities/new-york-ny/venues/samsaen
samurai sushi,Samurai Sushi,website,http://www.njsamurai.com/
san patricios jersey city,San Patricios - Jersey City,website,https://www.sanpatriciosnj.com/
sant ambroeus brookfield,Sant Ambroeus Brookfield,walk_in,
sant ambroeus madison,Sant Ambroeus,resy,https://resy.com/cities/new-york-ny/venues/sant-ambroeus-madison-ave
sanyuu west,Sanyuu West,resy,https://resy.com/cities/new-york-ny/venues/sanyuu-west
sao mai,Sao Mai,website,http://saomainyc.com/
